,exchange_id,ticker,name,sector,industry,country,website
1146,2,JPI,NUVEEN PREFERRED AND INCOME TERM FUND,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=JPI
1147,2,JPM,JPMorgan Chase & Co.,Financial Services,Banks—Diversified,United States,http://www.jpmorganchase.com
1152,2,JPS,Nuveen Preferred & Income Securities Fund,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=JPS
1154,2,JPT,Nuveen Preferred and Income 2022 Term Fund,,,,
1155,2,JQC,Nuveen Credit Strategies Income Fund,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=JQC&refsrc=vu_nuveen.com/jqc
1157,2,JRI,NUVEEN REAL ASSET INCOME AND GROWTH FUND,Financial Services,Asset Management,United States,http://www.nuveen.com/cef/Product/Overview.aspx?fundcode=JRI
1159,2,JRO,Nuveen Floating Rate Income Opportunty Fund,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=JRO
437,2,JRS,Nuveen Real Estate Income Fund,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/FundDetail.aspx?FundCode=JRS
1163,2,JSD,NUVEEN SHORT DURATION CREDIT OPPORTUNITIES FUND,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=JSD&refsrc=vu_nuveen.com/jsd
1166,2,JT,"Jianpu Technology Inc. American Depositary Shares, each representing twenty Class A Ordinary Shares",Financial Services,Credit Services,China,http://www.jianpu.ai
1169,2,JUN.U,"Juniper II Corp. Units, each consisting of one share of Class A common stock, and one-half of one re",,,,
1173,2,JW.A,"John Wiley & Sons, Inc. Class A",Communication Services,Publishing,United States,http://www.wiley.com
1174,2,JW.B,"John Wiley & Sons, Inc. Class B",Communication Services,Publishing,United States,http://www.wiley.com
1175,2,JWN,"Nordstrom, Inc.",Consumer Cyclical,Department Stores,United States,http://press.nordstrom.com
1176,2,JWSM,Jaws Mustang Acquisition Corp.,,,,
1177,2,JWSM.U,"Jaws Mustang Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-fourth",,,,
1179,2,JXN,Jackson Financial Inc.,Financial Services,Asset Management,United States,http://www.jackson.com
1182,2,K,Kellogg Company,Consumer Defensive,Packaged Foods,United States,http://www.kelloggcompany.com
1183,2,KAHC,KKR Acquisition Holdings I Corp.,,,,
1184,2,KAHC.U,"KKR Acquisition Holdings I Corp. Units, each consisting of one share of Class A Common Stock and one",,,,
706,2,KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,United States,http://www.kadant.com
1190,2,KAMN,Kaman Corp,Industrials,Aerospace & Defense,United States,http://www.kaman.com
1193,2,KAR,"KAR AUCTION SERVICES, INC.",Consumer Cyclical,Specialty Retail,United States,http://www.karglobal.com
2792,2,KB,KB Financial Group Inc,Financial Services,Banks—Regional,South Korea,http://www.kbfg.com
1076,2,KBH,KB Home,Consumer Cyclical,Residential Construction,United States,http://www.kbhome.com
1080,2,KBR,"KBR, Inc.",Industrials,Engineering & Construction,United States,http://www.kbr.com
1087,2,KCGI,Kensington Capital Acquisition Corp. V,Financial Services,Shell Companies,United States,http://www.autospac.com
1088,2,KCGI.U,"Kensington Capital Acquisition Corp. V Units, each consisting of one Class A ordinary share and thre",Financial Services,Shell Companies,United States,http://www.autospac.com
1094,2,KD,"Kyndryl Holdings, Inc.",Technology,Information Technology Services,United States,http://www.kyndryl.com
709,2,KEN,KENON HOLDINGS LTD.,Utilities,Utilities—Regulated Electric,Singapore,http://www.kenon-holdings.com
1110,2,KEP,Korea Electric Power Corp,Utilities,Utilities—Regulated Electric,South Korea,http://home.kepco.co.kr
1112,2,KEX,Kirby Corporation,Industrials,Marine Shipping,United States,http://kirbycorp.com
1113,2,KEY,KeyCorp,Financial Services,Banks—Regional,United States,http://www.key.com
1115,2,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,United States,http://www.keysight.com
